site_id,site_name,desa,kec,lat,lon,distance_from_epicenter_km,simulated_anomaly_severity_SIMULATED,flagged_anomalous_SIMULATED,priority_rank_SIMULATED
KAL-WKL-0108-H-B,Limbung,Limbung,Sungai Raya,-0.13563,109.40895,8.63494354818273,0.4950486617560408,False,22
KAL-WKL-0096-T-B,Site_4853,Arang Limbung,Sungai Raya,-0.12651,109.40302,9.53544200257359,0.4819359390933086,False,23
16MPW054,Sungai Ambangah,Sungai Ambangah,Sungai Raya,-0.136614,109.437819,9.697977546868874,0.4798678812170121,False,24
tbg,TB_ADISUCIPTO KM14.5 EX  ARANG LIMBUNG SEC-1,Arang Limbung,Sui Raya,-0.12561,109.41011,9.752981015197314,0.4791868477422691,False,25
tbg,TB_GG WONODADI EX ROAD PONTIANAK AIRPORT TO SUNGAI RAYA DALAM,Arang Limbung,Sui Raya,-0.11835,109.39771,10.394459288396712,0.4718987794800677,False,26
140100,ARANG JAYA,Arang Limbung,Sungai Raya,-0.11382,109.41023,11.04529909172998,0.465607160181086,False,27
140141,ARANG LIMBUNG 3,Arang Limbung,Sungai Raya,-0.1111,109.39514,11.191588245004453,0.4643284500536263,False,28
MPW015,ARANG_LIMBUNG,Arang Limbung,Sungai Raya,-0.110944,109.409833,11.353518180687498,0.46296650262878464,False,29
3412,Sungai Raya,Sui Raya,Sui Raya,-0.109472,109.388,11.387624370144103,0.4626866071494655,False,30
KAL-WKL-0005-X-P,AHMAD YANI ROAD,Arang Limbung,Sungai Raya,-0.10711,109.38944,11.642575787388902,0.4606682394169676,False,31
MPW053,PERUM_TELUK_MULUS,Teluk Kapuas,Sungai Raya,-0.105417,109.397917,11.832199598182687,0.45924830489536456,False,32
16PTK017,arang_limbung,Arang Limbung,Sungai Raya,-0.10325,109.407444,12.162122107109107,0.4569326954413919,False,33
tbg,TB_PARIT CAB KIRI EX ROAD SEI RAYA TO PTK AIRPORT,Teluk Kapuas,Sui Raya,-0.10232,109.38448,12.207754525022773,0.45662719036812716,False,34
KAL-WKL-0010-M-B,Arang Limbung,Arang Limbung,Sungai Raya,-0.10219,109.40908,12.303318483599389,0.4559985794073304,False,35
tbg,KOMP_BTN_TELUKMULUS,Teluk Kapuas,Sui Raya,-0.1004,109.40313,12.4260511578688,0.45521297466763666,False,36
KAL-WKL-0143-T-B,GG_PARAH ex RA_KARTINI,Parit Baru,Sungai Raya,-0.09516,109.37697,13.092357319699369,0.4513442458755655,False,37
16PTK066,Teluk Mulus,Sungai Raya,Sungai Raya,-0.093361,109.39275,13.16287628226021,0.45097124992830945,False,38
2111022,Ahmad Yani Road,Madu Sari,Sui Raya,-0.094139,109.379,13.175232723447849,0.45090656738141427,False,39
MPW017,SEI_RAYA_3** / ADI SUCIPTO,Sungai Raya,Sungai Raya,-0.093222,109.393278,13.178087360278793,0.45089165253979047,False,40
16PTK071,Bintang Mas,Bintang Mas,Rasau Jaya,-0.268565,109.286218,13.500287069807488,0.44927482329431273,False,41
MPW075,BINTANG MAS,Bintang Mas 2,Rasau Jaya,-0.266944,109.281944,13.841148756616581,0.44770034852554824,False,42
16PTK006,sungai_raya (PIL),Sungai Raya,Sungai Raya,-0.086472,109.376222,14.060626830885528,0.44675530310636075,False,43
MPW010,STO_SUNGAI_RAYA / SUNGAI RAYA,Sungai Raya,Sungai Raya,-0.08625,109.3755,14.096260872922908,0.4466067012061174,False,44
KAL-WKL-0092-H-B,A Yani II,Sungai Raya Dalam,Sungai Raya,-0.08732,109.36707,14.14323399764927,0.4464128246458709,False,45
2111021,Pasar Sei Raya Infill,Sui Raya,Sui Raya,-0.083444,109.387528,14.280817024036052,0.44585789150611643,False,46
PTK016,SUNGAI_RAYA_DALAM,Sungai Raya,Sungai Raya,-0.090778,109.349056,14.32931512314481,0.445666782998692,False,47
16MPW050,kampung_kapur,Kapur,Sungai Raya,-0.080167,109.401472,14.656491661919409,0.4444363394952396,False,48
140368,NURUL HUDA,Sungai Raya,Sungai Raya,-0.0798,109.3791,14.757741867210095,0.444075504997831,False,49
KAL-WKL-0106-H-B,Sei Raya,Sungai Raya,Sungai Raya,-0.07499,109.37604,15.328928039813457,0.4422024836549633,False,50
MPW020,A_YANI_II / PURNAMA_2,Sungai Raya,Sungai Raya,-0.075167,109.364778,15.518079583661173,0.44163888472062746,False,51
KAL-WKL-0123-H-B,Sungai Raya Dalam ll,Sungai Raya,Sungai Raya,-0.0745,109.359,15.734885456407607,0.44102483169158624,False,52
MPW063,TANJUNG RAYA II / DENZIBANG II / DESA KAPUR,Kapur,Sungai Raya,-0.070222,109.390333,15.739509334554498,0.4410120946852173,False,53
PTK049,GUBERNURAN_2/ DENZIBANG (MPW016),Sungai Raya,Sungai Raya,-0.067611,109.37125,16.21586594661894,0.4397757519876394,False,54
tbg,"PEREMPATAN,SEI RAYA DLM JL. A.YANI",Sui Raya,Sui Raya,-0.06922,109.36237,16.22080274183347,0.43976369420861045,False,55
16PTK038,parit_mayor/Kp Kapur,Kapur,Sungai Raya,-0.062829,109.380935,16.61653241067803,0.4388439925143027,False,56
16PTK023,rsu_soedarso,Sungai Raya,Sungai Raya,-0.062333,109.366139,16.88921683598723,0.4382611789737927,False,57
KAL-WKL-0091-H-B,Binaraya,Sungai Raya,Sungai Raya,-0.06158,109.36595,16.97536399600679,0.4380851619216809,False,58
tbg,PUNGGUR KECIL – 140280,Punggur Kecil,Sui Kakap,-0.09954,109.28666,17.227748162463563,0.43759078095421655,False,59
MPW058,SEI BEMBAN / ROAD KOTABARU - BEMBAN,Punggur Kecil,Sungai Kakap,-0.100056,109.286083,17.230660102757284,0.43758525698991196,False,60
C409,Punggur Pontianak,Punggur Kecil,Sui Kakap,-0.126611,109.247694,18.774402284746966,0.4351565664846696,False,61
MPW030,PUNGGUR,Punggur Kecil,Sungai Kakap,-0.126639,109.246806,18.85817893183667,0.4350496896516996,False,62
KAL-WKL-0141-T-B,Seponti Jaya 2,Pal IX,Sungai Kakap,-0.07108,109.29848,18.87504643597098,0.4350284405702891,False,63
Perdamaian,KOTABARU PONTIANAK,Pal IX,Sui Kakap,-0.066056,109.302111,19.122880102003034,0.4347263417729697,False,64
16MPW020,punggur_ptk,Punggur Kecil,Sungai Kakap,-0.124498,109.243279,19.316876401340984,0.43450258834372485,False,65
MPW026,SUNGAI_AMBAWANG,Sungai Ambawang,Sungai Ambawang,-0.038972,109.4135,19.338589815186065,0.4344782129217635,False,66
tbg,PERUMNAS 4 PONTIANAK,Ambawang Kuala,Sui Ambawang,-0.0369,109.38134,19.487817877771416,0.43431422218465565,False,67
140341,PARIT AIM AMBAWANG,Sungai Ambawang Kuala,Sungai Ambawang,-0.03673,109.41427,19.59615992529659,0.4341989375874634,False,68
16PTK030,sei_ambawang,Ambawang Kuala,Sungai Ambawang,-0.032278,109.393278,19.95475190231393,0.43383889108010065,False,69
RSJ,RASAU JAYA,Rasau Jaya,Rasau Jaya,-0.1952,109.2129,20.16658337428856,0.43364088096485254,False,70
tbg,TB_JW TENGAH EX SPLIT SUNGAI AMBAWANG-2,Jawa Tengah,Sui Ambawang,-0.03507,109.44057,20.329350450652505,0.43349570092577216,False,71
140108,SUNGAI AMBAWANG,Sungai Ambawang Kuala,Sungai Ambawang,-0.02873,109.38661,20.363706147204095,0.43346580518561695,False,72
CD07,Teluk Nibung,Teluk Nibung,Batu Ampar,-0.035778,109.452,20.61826698682666,0.43325211245889067,False,73
KAL-WKL-0003-M-B,Gang Terpadu,Jawa Tengah,Sungai Ambawang,-0.03509,109.45073,20.646922013444655,0.43322889836595624,False,74
16MPW040,Kampung Jawa Tengah (rd To Tayan Ambawang 1),Sungai Ambawang,Sungai Ambawang,-0.036008,109.463793,21.044952791824056,0.4329230667479461,False,75
MPW060,DS JAWA TENGAH / SUNGAI AMBAWANG-CAP,Jawa Tengah,Sungai Ambawang,-0.0375,109.467806,21.062003042007543,0.43291063351065845,False,76
tbg,TB_KOREK  EX SPLIT DS.JAWA TENGAH-2,Korek,Sui Ambawang,-0.04704,109.49022,21.237270557879693,0.4327858523582304,False,77
MPW031,SUNGAI_ASAM,Sungai Asam,Sungai Raya,-0.296972,109.567278,21.52156531371631,0.43259472409922234,False,78
16MPW019,drm_rasau,Sungai Asam,Sungai Raya,-0.296619,109.567921,21.568573601914185,0.4325644091950304,False,79
MPW045,KOREK / KOREK EX KAMP JAWA T / SUKAMARA 2,Korek,Sungai Ambawang,-0.052417,109.515861,22.336762029391213,0.43211632482649676,False,80
140186,PAL 9,Pal IX,Sungai Kakap,-0.06163,109.25604,22.63273188079335,0.4319653857746916,False,81
MPW018,PAL_IX / SEI_KAKAP_2,Pal IX,Sungai Kakap,-0.062167,109.255444,22.633630885978135,0.4319649441013264,False,82
MPW046,KALIMAS / PUNGGUR 2,Kalimas,Sungai Kakap,-0.09325,109.227333,22.693774586358394,0.43193562035627486,False,83
tbg,KALIMAS - 140190,Kalimas,Sui Kakap,-0.08744,109.22507,23.276825617239364,0.43167307811910316,False,84
16PTK062,rd_to_kakap,Pal IX,Sungai Kakap,-0.066306,109.242806,23.28748372455113,0.4316686260914771,False,85
PTK043,KUALA MANDOR,Kuala Mandor B,Kuala Mandor B,-0.008639,109.44925,23.41841806754776,0.431614890257514,False,86
16MPW041,desa korek (RD TO Tayan Ambawang 2),Korek,Sungai Ambawang,-0.040101,109.540271,25.110766214424327,0.4310577880321113,False,87
140404,SUNGAI KAKAP,Sungai Kakap,Sungai Kakap,-0.05433,109.22469,25.6655202309848,0.43092080357554446,False,88
140340,PRAMUKA,Sungai Rengas,Sungai Kakap,-0.00668,109.28487,25.80341976214745,0.43088959994146253,False,89
GLN,GUNUNG LINANG,Batu Ampar,Batu Ampar,-0.4445,109.38916,25.88683791809515,0.43087123985577525,False,90
140867A,HARAPAN KITA,Sungai Rengas,Sungai Kakap,-0.0031,109.28391,26.205316352246218,0.4308045617427057,False,91
3413,Sungai Kakap,Sui Kakap,Sui Kakap,-0.006556,109.272,26.515433146832837,0.4307445414395757,False,92
MPW144,TPI JERUJU EX LANCAK BADAU / TPI JERUJU (PTK076),Sungai Rengas,Sungai Kakap,-0.005306,109.270222,26.73595441816171,0.4307046055859384,False,93
16PTK053,nipah kuning,Sungai Rengas,Sungai Kakap,-0.004722,109.262361,27.249337973653322,0.4306197352091626,False,94
16MPW009,sungai_kakap,Sungai Kakap,Sungai Kakap,-0.056444,109.194278,28.088072250699664,0.43050250658059364,False,95
MPW013,SEI_KAKAP,Sungai Kakap,Sungai Kakap,-0.056306,109.194222,28.102418265542646,0.43050070756689074,False,96
140185,SUNGAI RENGAS,Sungai Rengas,Sungai Kakap,-0.00906,109.23767,28.428240071687856,0.43046153910287455,False,97
MPW047,SUNGAI RENGAS,Sungai Rengas,Sungai Kakap,-0.006556,109.238167,28.616078195434564,0.4304403664624054,False,98
MPW067,SUNGAI SELAMAT,Sungai Selamat,Kubu,-0.395056,109.211444,28.7290155045747,0.4304281068962913,False,99
KAL-WKL-0049-T-B,BRI Sungai Kakap,Sungai Kakap,Sungai Kakap,-0.06084,109.18123,28.96006845647693,0.4304040787093512,False,100
PTK042,TELOK PEKADAI-31,Selat Remis,Teluk Pakedai,-0.312583,109.15125,29.178490346116778,0.43038260541562495,False,101
16MPW016,tpi,Jeruju Besar,Sungai Kakap,-0.011111,109.224083,29.19896468871978,0.4303806520206094,False,102
CD05,CD05,Selat Remis,Teluk Pakedai,-0.313972,109.151,29.263807545848326,0.4303745311255434,False,103
140381,TELUK PAKEDAI,Selat Remis,Teluk Pakedai,-0.31931,109.15189,29.409021390047315,0.43036117819471675,False,104
16MPW045,teluk pakedai,Selat Remis,Teluk Pakedai,-0.313111,109.148944,29.437807710270512,0.4303585882773756,False,105
140196,KARYA BERSAMA,Kubu,Kubu,-0.48788,109.37753,30.75732048330908,0.4302578290265365,False,106
MPW052,PANCAROBA / PANCAROBA EX LINGGA,Pancaroba,Sungai Ambawang,-0.031361,109.604722,30.88460038891356,0.43024975406683075,False,107
16MPW017,kubu_ptk,Kubu,Kubu,-0.490204,109.380673,30.997254549766836,0.4302428182353542,False,108
MPW021,KUBU,Kubu,Kubu,-0.491889,109.377444,31.202913793377448,0.4302306492941851,False,109
16MPW025,pancaroba,Pancaroba,Sungai Ambawang,-0.030311,109.609984,31.406710982330065,0.43021919221800653,False,110
MPW126,SAJINGAN BESAR / JERUJU BESAR (PTK067),Jeruju Besar,Sungai Kakap,-0.008556,109.196111,31.49925173598456,0.43021417937486567,False,111
tbg,SUNGAI KUPAH – 140192,Sui Kupah,Sui Kakap,-0.008582,109.19601,31.505005586204327,0.4302138715073359,False,112
MPW071,TERENTANG,Terentang Hilir,Terentang,-0.384167,109.626944,32.27026943493856,0.4301766304045413,False,113
16MPW023,terentang,Terentang Hilir,Terentang,-0.384221,109.627335,32.30881427594741,0.4301749365311933,False,114
tbg,RADAK,Terentang Hulu,Terentang,-0.45297,109.55861,32.50474665681022,0.43016657407977227,False,115
CD06,Kubu,Kubu,Kubu,-0.503694,109.371,32.560730939723506,0.430164258936418,False,116
MPW077,Sule Bagas,Korek,Sungai Ambawang,0.044111,109.557889,33.81467549643849,0.43012005595480224,False,117
140094,H095,Sungai Raya,Sungai Raya,0.09829,109.36266,34.643486447350924,0.43009758806356424,False,118
tbg,KUBU_PADI,Kubu Padi,Kuala Mandor B,0.09963,109.46834,35.60812544485456,0.43007667651258397,False,119
MPW072,PENEMPAT EX TAYAN ROAD,Teluk Bakung,Sungai Ambawang,-0.014167,109.695278,40.107034766357785,0.43002490000754895,False,120
16MPW049,bakung (Penempat),Teluk Bakung,Sungai Ambawang,-0.01584,109.696801,40.14759042281178,0.4300246488240268,False,121
MPW076,MTDABUNG,Dabung,Kubu,-0.569,109.28358,41.56403759067087,0.4300172984586224,False,122
16MPW044,dabung,Dabung,Kubu,-0.589417,109.256083,44.68995600274423,0.43000791799326066,False,123
tbg,pulau limbung,Pulau Limbung,Sui Raya,-0.26812,109.85852,52.08532563513254,0.4300012464448629,False,124
MPW022,PADANG_TIKAR,Padang Tikar,Batu Ampar,-0.695139,109.264361,55.637248297498715,0.43000051289441377,False,125
16MPW027,padang_tikar,Padang Tikar II,Batu Ampar,-0.696528,109.263278,55.81759769103561,0.4300004902829407,False,126
16MPW026,teluk_air,Batu Ampar,Batu Ampar,-0.729861,109.565889,60.71776298853637,0.43000014401843756,False,127
MPW036,BATU_AMPAR,Sungai Limau,Batu Ampar,-0.739778,109.533111,60.73297003103391,0.4300001434719534,False,128
16KTP009,batu_ampar_ptk,Batu Ampar,Batu Ampar,-0.743417,109.537139,61.239526433800386,0.4300001264061921,False,129
MPW062,MASTURA BATU AMPAR,Teluk Mastura,Batu Ampar,-0.751611,109.542361,62.271387496313345,0.4300000976642136,False,130
MPW029,TELUK_NIBUNG,Teluk Nibung,Batu Ampar,-0.792639,109.468667,65.1320235054775,0.4300000477689669,False,131
P06-07,SUNGAI BESAR,Sungai Besar,Batu Ampar,-0.79,109.253889,66.14772987706948,0.43000003705671613,False,132
MPW149,DESA SETIA BARU,Teluk Nibung,Batu Ampar,-0.81525,109.49311,68.01558877802229,0.430000023230937,False,133
MPW078,MTMEGATIMUR,Mega Timur,Sui Ambawang,-0.1105,110.074889,76.59757668130962,0.43000000271824895,False,134
P06-22,BATU AMPAR,Batu Ampar,Batu Ampar,-0.859722,109.690278,79.24948697857819,0.4300000014007535,False,135
P06-23,SUMBER AGUNG,Sumber Agung,Batu Ampar,-0.80556,109.79445,79.67098476153373,0.4300000012606606,False,136
